time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/value_loss,train/clip_range,train/learning_rate,train/entropy_loss,train/loss,train/explained_variance,train/clip_fraction
1009,1,14.419333279999996,2,2048,4.9,,,,,,,,,,
674,2,16.115333290000002,6,4096,4.75,-0.05569807908323128,0.036852874,10,30.27522658109665,0.2,0.0003,-4.334795328974724,13.804766654968262,-0.0005496740341186523,0.431591796875
465,3,18.068666600000004,13,6144,4.8,-0.06049128958838992,0.032390893,20,44.584310287237166,0.2,0.0003,-4.236669547855854,18.40473747253418,0.009791135787963867,0.48798828125
888,1,15.226666569999999,2,2048,4.92,-0.059391753068484834,0.02003004,30,55.672688484191895,0.2,0.0003,-4.132528175413609,22.499067306518555,0.03659433126449585,0.434130859375
578,2,18.083333229999997,7,4096,4.95,-0.06135105513385497,0.035149217,10,34.1676312148571,0.2,0.0003,-4.360519599914551,18.271080017089844,0.0011334419250488281,0.4701171875
344,3,19.38733328,17,6144,4.9,-0.0547607671818696,0.021009348,20,44.96078872680664,0.2,0.0003,-4.2856717854738235,21.397123336791992,0.004186511039733887,0.4611328125
864,1,15.27066661,2,2048,4.95,-0.05831422249902971,0.01858198,30,54.82870827913284,0.2,0.0003,-4.203586685657501,29.32880401611328,0.0057686567306518555,0.430615234375
317,2,17.43533322,12,4096,4.89,-0.06532598635531031,0.03923551,10,36.36991426944733,0.2,0.0003,-4.383064812421798,18.929594039916992,-0.0002454519271850586,0.503125
313,3,18.720666590000004,19,6144,4.86,-0.04953382873500232,0.02050034,20,48.1149938762188,0.2,0.0003,-4.307732607424259,31.051462173461914,0.003613591194152832,0.43369140625
902,1,14.027333290000001,2,2048,4.85,-0.053221679507987577,0.018140823,30,54.98147076368332,0.2,0.0003,-4.21961135417223,35.839813232421875,0.005978822708129883,0.439453125
410,2,16.9673333,9,4096,4.85,-0.061786346125882116,0.033126034,10,35.56282641887665,0.2,0.0003,-4.414206445217133,15.422374725341797,0.00031888484954833984,0.487255859375
368,3,21.111999850000004,16,6144,4.83,-0.05770307719358243,0.023863835,20,51.35417881608009,0.2,0.0003,-4.346009251475334,31.959617614746094,0.0005941987037658691,0.45986328125
903,1,14.554666620000003,2,2048,4.87,-0.05132276779622771,0.019328546,30,61.20021412372589,0.2,0.0003,-4.254149977862835,28.070659637451172,0.0012741684913635254,0.470703125
315,2,18.72999991,12,4096,4.89,-0.062306139600696045,0.039958533,10,34.997845536470415,0.2,0.0003,-4.431150665879249,13.359915733337402,-0.00015866756439208984,0.47451171875
316,3,19.077999939999998,19,6144,4.81,-0.058487572673766405,0.022444468,20,50.873653787374494,0.2,0.0003,-4.3541960507631305,23.079524993896484,0.0005944967269897461,0.467236328125
866,1,14.534666620000001,2,2048,4.81,-0.05219456662744051,0.022182994,30,61.18898046016693,0.2,0.0003,-4.257215406000614,39.596046447753906,0.001020193099975586,0.465673828125
414,2,17.03666657,9,4096,4.82,-0.06060177657345776,0.03165396,10,32.01089637875557,0.2,0.0003,-4.461484993994236,19.473018646240234,0.00034743547439575195,0.46005859375
348,3,20.27933324,17,6144,4.89,-0.05377764163422398,0.0285948,20,47.67872887849808,0.2,0.0003,-4.381614646315574,24.30916404724121,0.00167083740234375,0.456494140625
568,1,13.625999979999996,3,2048,4.88,-0.058932675844698676,0.01974542,30,58.36317341327667,0.2,0.0003,-4.26520683914423,26.899154663085938,0.0013751983642578125,0.500244140625
340,2,17.369999890000003,12,4096,4.88,-0.06222622273489833,0.03308533,10,33.25653720498085,0.2,0.0003,-4.534655505418778,19.238113403320312,0.0004850029945373535,0.478955078125
357,3,17.8459999,17,6144,4.93,-0.05829081219417276,0.022159277,20,45.338612359762195,0.2,0.0003,-4.466116867959499,31.418729782104492,0.0003104209899902344,0.46396484375
901,1,13.887999919999997,2,2048,4.88,-0.05891670398996211,0.021408476,30,52.569404900074005,0.2,0.0003,-4.378631724417209,20.142013549804688,0.0025148391723632812,0.497802734375
486,2,15.985333249999998,8,4096,4.85,-0.06698201520484873,0.037442848,10,31.929606318473816,0.2,0.0003,-4.539720000326634,16.135202407836914,-3.2782554626464844e-05,0.509033203125
356,3,18.509999869999998,17,6144,4.82,-0.055118528532329944,0.023606356,20,44.866875344514845,0.2,0.0003,-4.4677483782172205,23.48471450805664,0.00011587142944335938,0.4607421875
425,1,15.995999869999999,4,2048,4.98,-0.05789438770734705,0.019639928,30,55.21169707775116,0.2,0.0003,-4.3833516061306,27.621164321899414,0.00078582763671875,0.492919921875
323,2,17.176666580000003,12,4096,4.86,-0.06190077928768005,0.040662687,10,35.75025735497475,0.2,0.0003,-4.562779220938682,19.301870346069336,0.0001290440559387207,0.47236328125
298,3,19.00266661,20,6144,4.86,-0.05833811370248441,0.024518292,20,43.67923185825348,0.2,0.0003,-4.473458056151867,21.744728088378906,0.0005951523780822754,0.466015625
891,1,14.167333299999997,2,2048,4.93,-0.04905190335412044,0.01748818,30,54.65862663388252,0.2,0.0003,-4.37884756475687,18.988996505737305,0.008992195129394531,0.389697265625
489,2,16.01999996,8,4096,4.88,-0.059224944835295903,0.036821626,10,34.42975155711174,0.2,0.0003,-4.592836876213551,12.505087852478027,5.424022674560547e-05,0.467822265625
358,3,20.579333229999996,17,6144,4.9,-0.06046924944967032,0.032064483,20,49.323401260375974,0.2,0.0003,-4.503700129687786,18.79458236694336,0.00024640560150146484,0.48447265625
415,1,13.32399995,4,2048,4.88,-0.04798514432623051,0.020025348,30,58.72531012296677,0.2,0.0003,-4.397572894394398,24.392059326171875,0.0008755922317504883,0.43046875
319,2,16.29466661,12,4096,4.89,-0.06676172493898776,0.033792682,10,29.39568350315094,0.2,0.0003,-4.604552009701729,16.715593338012695,4.887580871582031e-05,0.489990234375
313,3,18.742666600000003,19,6144,4.85,-0.057943569678172935,0.023155533,20,44.56479902267456,0.2,0.0003,-4.535582675039768,22.203155517578125,0.0001341700553894043,0.471435546875
870,1,12.45199989,2,2048,4.92,-0.05606668073014589,0.020408347,30,53.5557176232338,0.2,0.0003,-4.441652278602123,20.8027286529541,0.0012260675430297852,0.4966796875
366,2,15.98066659,11,4096,4.99,-0.06388904789928347,0.04097721,10,23.633427128195763,0.2,0.0003,-4.83367782086134,11.727215766906738,0.000714719295501709,0.452880859375
354,3,19.043999959999997,17,6144,4.89,-0.06374714856938227,0.038386136,20,41.749207991361615,0.2,0.0003,-4.716419123113155,22.162452697753906,7.051229476928711e-05,0.502978515625
270,1,11.479999930000004,7,2048,4.92,-0.0532751996506704,0.020997278,30,51.189037358760835,0.2,0.0003,-4.601564103364945,24.026996612548828,0.00010716915130615234,0.464990234375
303,2,14.171333299999999,13,4096,4.92,-0.06572785688913427,0.03275737,10,22.71696789264679,0.2,0.0003,-4.939659726619721,11.695798873901367,7.468461990356445e-05,0.4662109375
265,3,16.514666539999997,23,6144,4.93,-0.063683499279432,0.028660674,20,34.420693814754486,0.2,0.0003,-4.848380394279957,17.816556930541992,0.00026744604110717773,0.491015625
872,1,11.851333269999998,2,2048,4.87,-0.058166242751758544,0.021917239,30,44.683112090826036,0.2,0.0003,-4.746736472845077,18.139541625976562,0.0005018711090087891,0.490771484375
344,2,14.748666589999997,11,4096,4.92,-0.06302052811079192,0.032325994,10,24.86304568648338,0.2,0.0003,-4.99353950470686,9.756632804870605,0.00034749507904052734,0.45966796875
351,3,16.928666610000004,17,6144,4.93,-0.059864481847034766,0.03047187,20,38.40632336735725,0.2,0.0003,-4.903821958601474,23.580394744873047,1.52587890625e-05,0.477490234375
269,1,12.88933327,7,2048,4.96,-0.059356225351803,0.024140913,30,46.04657073616981,0.2,0.0003,-4.7937043234705925,23.770252227783203,3.5762786865234375e-07,0.5216796875
310,2,17.277333239999997,13,4096,4.89,-0.0682707186191692,0.036317404,10,30.154917341470718,0.2,0.0003,-5.054496192932129,16.35218048095703,-0.00015497207641601562,0.4962890625
255,3,18.225333239999998,24,6144,4.9,-0.06432533594197594,0.02948314,20,43.9110504925251,0.2,0.0003,-4.967856088280678,21.646974563598633,-5.960464477539062e-07,0.498193359375
823,1,13.90933325,2,2048,4.92,-0.0588340960588539,0.023985896,30,55.1964425444603,0.2,0.0003,-4.856939363479614,26.030853271484375,3.832578659057617e-05,0.495947265625
283,2,16.130666599999998,14,4096,4.95,-0.06923858472146094,0.032309234,10,31.75551242828369,0.2,0.0003,-5.1781834155321125,11.598615646362305,0.0004672408103942871,0.507763671875
221,3,17.443333220000003,27,6144,4.92,-0.06570602359133773,0.028554007,20,45.7284164249897,0.2,0.0003,-5.0985853403806685,19.551673889160156,4.649162292480469e-06,0.5251953125
285,1,14.133333220000003,7,2048,4.96,-0.05961961559369229,0.024281356,30,55.74461745023727,0.2,0.0003,-4.994939836859703,24.092681884765625,1.2516975402832031e-06,0.5271484375
284,2,16.88999996,14,4096,4.98,-0.06993881468079052,0.03252984,10,29.988361799716948,0.2,0.0003,-5.254666784405709,18.257110595703125,2.485513687133789e-05,0.500146484375
223,3,19.10199989,27,6144,4.96,-0.060832898251828735,0.03177461,20,45.38045507669449,0.2,0.0003,-5.176766200363636,23.65508460998535,3.933906555175781e-06,0.48720703125
289,1,13.915999929999998,7,2048,4.98,-0.0656348811899079,0.02563949,30,54.46488046646118,0.2,0.0003,-5.074139392375946,34.77035903930664,1.6570091247558594e-05,0.548828125
306,2,17.334666549999998,13,4096,4.9,-0.07229978129325901,0.034808364,10,28.9744993686676,0.2,0.0003,-5.316589879989624,16.25019073486328,0.0003567934036254883,0.498681640625
238,3,19.31333325,25,6144,4.95,-0.060065458576718814,0.030118212,20,46.847073692083356,0.2,0.0003,-5.218451465666294,19.803186416625977,8.046627044677734e-06,0.49619140625
293,1,13.627999930000001,6,2048,4.98,-0.061302253419125916,0.023424286,30,54.1626837015152,0.2,0.0003,-5.094220645725727,27.279069900512695,1.3887882232666016e-05,0.53994140625
310,2,15.209999939999998,13,4096,4.89,-0.06646927905967459,0.033020116,10,30.426978665590287,0.2,0.0003,-5.318802088499069,18.30284881591797,0.00029015541076660156,0.47412109375
250,3,18.941999889999998,24,6144,4.91,-0.07074183693912346,0.030496746,20,42.76100164651871,0.2,0.0003,-5.214072097837925,23.136165618896484,1.2695789337158203e-05,0.54443359375
808,1,12.76133325,2,2048,4.98,-0.05265649023349397,0.023866802,30,53.3492836356163,0.2,0.0003,-5.109874793887139,25.89049530029297,3.1888484954833984e-05,0.451123046875
283,2,14.67333326,14,4096,4.99,-0.06937885487714084,0.033986345,10,28.189080607891082,0.2,0.0003,-5.350923793017865,16.624771118164062,0.0001519322395324707,0.506640625
235,3,17.77999988,26,6144,4.93,-0.06585987376674893,0.027665613,20,40.561604940891264,0.2,0.0003,-5.272085748612881,16.455835342407227,7.212162017822266e-06,0.495703125
825,1,13.43199995,2,2048,4.95,-0.06132337132585235,0.024797825,30,52.4429146528244,0.2,0.0003,-5.16291895210743,25.20499610900879,1.0132789611816406e-06,0.49951171875
294,2,17.8273332,13,4096,4.97,-0.0780264532804722,0.043234836,10,30.765165466070176,0.2,0.0003,-5.430877767503262,16.126680374145508,5.614757537841797e-05,0.542822265625
249,3,18.87266652,24,6144,4.95,-0.0634399283771927,0.028914493,20,44.14216246604919,0.2,0.0003,-5.335338345170021,22.640735626220703,5.960464477539062e-07,0.510888671875
817,1,12.750666549999998,2,2048,4.99,-0.06442515711823944,0.026015285,30,57.73302186727524,0.2,0.0003,-5.225047153234482,23.872438430786133,-2.384185791015625e-07,0.543017578125
282,2,16.222666559999997,14,4096,4.99,-0.07489943515101913,0.034392282,10,28.079960441589357,0.2,0.0003,-5.496688374876976,15.851866722106934,-6.413459777832031e-05,0.528466796875
242,3,18.51533325,25,6144,4.96,-0.06175366972456686,0.027991395,20,40.87143523693085,0.2,0.0003,-5.417782397568226,26.89157485961914,6.556510925292969e-07,0.474658203125
824,1,13.32533328,2,2048,4.95,-0.057785898048314265,0.027285974,30,52.538113707304,0.2,0.0003,-5.325387388467789,22.905550003051758,1.627206802368164e-05,0.49189453125
286,2,16.288666539999998,14,4096,4.94,-0.0782603107043542,0.032158557,10,28.394168144464494,0.2,0.0003,-5.5151841133832935,14.95443344116211,0.0003237724304199219,0.5515625
252,3,18.23066658,24,6144,4.91,-0.0699777070665732,0.03323532,20,44.86371628046036,0.2,0.0003,-5.438818825781345,19.985904693603516,3.635883331298828e-06,0.513330078125
817,1,13.423999909999996,2,2048,4.92,-0.06407940538629191,0.024914669,30,51.10892664194107,0.2,0.0003,-5.334520757198334,25.25498390197754,1.7881393432617188e-06,0.514013671875
275,2,14.595999900000002,14,4096,4.95,-0.07742741031106562,0.032527544,10,30.429135781526565,0.2,0.0003,-5.515752236545086,13.174721717834473,-7.033348083496094e-05,0.51875
234,3,18.375333259999998,26,6144,4.91,-0.07103211637295317,0.02916015,20,41.85075051784516,0.2,0.0003,-5.4345209613442425,24.292619705200195,9.5367431640625e-07,0.54111328125
799,1,13.52133326,2,2048,4.97,-0.06414014653128106,0.026869774,30,52.63442796468735,0.2,0.0003,-5.341519342362881,24.162691116333008,6.556510925292969e-07,0.544677734375
280,2,15.713999920000001,14,4096,4.97,-0.0750950759567786,0.0328679,10,30.48961536884308,0.2,0.0003,-5.533844693005085,14.380461692810059,1.329183578491211e-05,0.5021484375
238,3,19.231999899999998,25,6144,4.97,-0.06605306769779418,0.025884503,20,39.95469397306442,0.2,0.0003,-5.460883751511574,18.798070907592773,1.8775463104248047e-05,0.499658203125
809,1,12.741999949999997,2,2048,4.97,-0.06018390004464891,0.024588449,30,51.360614478588104,0.2,0.0003,-5.3784674689173695,26.23879623413086,3.516674041748047e-06,0.520361328125
275,2,16.25799994,14,4096,4.98,-0.07609457777871284,0.03516239,10,29.038973253965377,0.2,0.0003,-5.550280925631523,19.167844772338867,-0.00012362003326416016,0.526123046875
236,3,19.097999839999996,26,6144,4.96,-0.06575459079176653,0.03265556,20,41.471729481220244,0.2,0.0003,-5.466923926770687,16.69856834411621,1.7881393432617188e-07,0.50712890625
795,1,12.321333269999998,2,2048,4.99,-0.058921855114749636,0.030478872,30,56.27210804224014,0.2,0.0003,-5.362347985804081,30.848066329956055,1.1920928955078125e-07,0.500732421875
273,2,17.835333259999995,14,4096,4.96,-0.07118823048367631,0.030816618,10,27.871720543503763,0.2,0.0003,-5.654837171733379,19.402568817138672,-0.00025522708892822266,0.50546875
230,3,18.905999919999996,26,6144,4.96,-0.06520823481259867,0.028206863,20,45.44208140969276,0.2,0.0003,-5.576891505718232,20.043315887451172,8.58306884765625e-06,0.488916015625
778,1,13.601999900000001,2,2048,4.97,-0.06542385015200125,0.02836174,30,51.83043622970581,0.2,0.0003,-5.464237986505031,23.208599090576172,-2.86102294921875e-06,0.54951171875
274,2,15.983333219999997,14,4096,4.97,-0.06901430211437401,0.031027641,10,29.481803405284882,0.2,0.0003,-5.680009020864963,14.48854923248291,0.0001698136329650879,0.485986328125
226,3,19.12199991,27,6144,4.99,-0.06818490819132421,0.026692485,20,40.33430292010307,0.2,0.0003,-5.605159053206444,19.04436683654785,-2.384185791015625e-07,0.508056640625
366,1,14.047999909999998,5,2048,5.0,-0.0694197208242258,0.027152244,30,54.21074662804604,0.2,0.0003,-5.507771253585815,27.88686180114746,1.1920928955078125e-07,0.535888671875
272,2,15.86866656,15,4096,4.94,-0.07676729681843426,0.027666532,10,28.54462612271309,0.2,0.0003,-5.72138212621212,9.848221778869629,-0.00014507770538330078,0.514990234375
221,3,18.28466658,27,6144,4.94,-0.06728491203975864,0.02826024,20,40.8135328412056,0.2,0.0003,-5.647598403692245,17.240177154541016,2.980232238769531e-07,0.5216796875
745,1,13.284666619999998,2,2048,4.99,-0.06409643373917788,0.026061326,30,48.05970147252083,0.2,0.0003,-5.562845928966999,26.644189834594727,2.980232238769531e-07,0.526708984375
302,2,16.503333289999997,13,4096,5.0,-0.07528270492330194,0.026161978,10,28.623438370227813,0.2,0.0003,-5.7620727375149725,12.194815635681152,1.1682510375976562e-05,0.5146484375
275,3,17.62333324,22,6144,4.95,-0.06877802182279993,0.029422954,20,41.3723121881485,0.2,0.0003,-5.696724900603295,16.483253479003906,-3.5762786865234375e-07,0.51103515625
768,1,14.845333300000002,2,2048,5.0,-0.06672202292247675,0.026083978,30,50.36037499308586,0.2,0.0003,-5.605129007995129,21.23564338684082,2.384185791015625e-07,0.545849609375
259,2,15.958666639999999,15,4096,4.98,-0.08060206808440853,0.029302547,10,31.77225527763367,0.2,0.0003,-5.849439558386803,14.576146125793457,0.00017827749252319336,0.5505859375
217,3,17.74333321,28,6144,4.96,-0.06740985249198275,0.032411598,20,43.97556118369103,0.2,0.0003,-5.777247738838196,21.89371109008789,3.5762786865234375e-07,0.489697265625
759,1,13.909999840000001,2,2048,4.97,-0.0708416580571793,0.029160507,30,53.879937291145325,0.2,0.0003,-5.684394617378712,22.960979461669922,0.0,0.56328125
246,2,15.66399989,16,4096,4.98,-0.07616203301877249,0.029023267,10,30.674263030290604,0.2,0.0003,-5.9227626621723175,12.04121208190918,-0.00013375282287597656,0.531640625
219,3,18.795999880000004,28,6144,4.96,-0.06578568706172519,0.024970902,20,46.05684597492218,0.2,0.0003,-5.859726670384407,20.028413772583008,1.7881393432617188e-07,0.478173828125
904,1,12.80399991,2,2048,4.93,-0.07018445240100846,0.02919841,30,54.17632611989975,0.2,0.0003,-5.771589665114879,35.50956726074219,0.0,0.552978515625
